head_term,rows
sandwich,177
cereals,175
formula,168
candies,104
beverages,89
nuts,77
crackers,76
squash,54
cereal,51
pie,51
veal,48
babyfood,46
pretzels,43
beverage,42
candy,40
muffin,37
dip,31
substitute,31
popcorn,29
hamburger,27
cheeseburger,26
water,26
soymilk,25
biscuit,24
sub,23
waffle,22
ravioli,22
nectar,21
muffins,20
