term,occurrences,rank,product_id,category,name,price_value,quantity,dietary
cereals,175,15,13184589,food-cupboard-6,Nestle Cereal - Gold Cornflakes,5.95,500g,
cereals,175,16,13174343,food-cupboard-6,Post Cereals - Waffle Crisp,7.52,326g,
cereals,175,17,12620098,food-cupboard-6,Sanitarium Weet-Bix Breakfast Cereal,9.04,750g,
cereals,175,18,13021613,food-cupboard-6,Post Great Grains Cereal - Raisins- Dates & Pecans,6.5,453g,
cereals,175,19,13021228,food-cupboard-6,Post Great Grains Cereal - Crunchy Pecan,6.5,453g,
cereals,175,20,13180964,food-cupboard-6,Kellogg's Cereal - Froot Loops,8.9,400g,Halal
nuts,77,1,13136644,snacks--confectionery,Camel Natural Wholesome Nut Mix - Power Bounce,12.12,10 per pack,
nuts,77,2,13276096,snacks--confectionery,FairPrice Trail Mix - Energy Booster,7.7,7 x 25g,
nuts,77,3,13276097,snacks--confectionery,FairPrice Trail Mix - Focus Booster,7.7,7 x 25g,
nuts,77,4,13136645,snacks--confectionery,Camel Natural Wholesome Nut Mix - Power Revive,12.12,10 per pack,
nuts,77,5,13258470,snacks--confectionery,Camel Natural Wholesome Nut Mix - Power Delight,10.9,250g,Halal
nuts,77,6,11961907,snacks--confectionery,Nature's Wonders The Royal Mix,8.8,220g,
nuts,77,7,13210300,snacks--confectionery,FairPrice Mixed Snacks,1.12,150g,Halal
nuts,77,8,13237058,snacks--confectionery,Camel Mixed Snacks - Bundle Pack,6.66,12 x 36g,Halal
nuts,77,9,13292814,snacks--confectionery,FairPrice Trail Mix - Glow Booster,7.7,7 x 25g,
nuts,77,10,13183194,snacks--confectionery,FairPrice Snacks - Mixed Nuts (Premium),6.01,150g,Halal
nuts,77,11,13292826,snacks--confectionery,FairPrice Trail Mix - Vitality Booster,7.7,7 x 25g,
nuts,77,12,10878597,snacks--confectionery,Nature's Wonders Fruits & Nuts Fusion,6.95,270g,
nuts,77,13,13185120,snacks--confectionery,Tong Garden Nutrione Baked Nuts & Dried Fruit - Mango Tango,10.08,7 x 28g,Halal
nuts,77,14,13183196,snacks--confectionery,FairPrice Natural Fruits & Nuts,11.51,400g,Halal
nuts,77,15,11241328,snacks--confectionery,Camel Natural Baked Cocktail Mix,12.12,400g,
nuts,77,16,13048945,snacks--confectionery,Tong Garden Roasted Salted Nuts - Cocktail,10.9,400g,Halal
nuts,77,17,10999209,snacks--confectionery,Tai Sun Oriental Mix,1.55,150g,
nuts,77,18,13037223,snacks--confectionery,Tong Garden Party Snack (Freshly Roasted),4.05,400g,
nuts,77,19,11036455,snacks--confectionery,Tai Sun Coated Green Peas,1.55,140g,
nuts,77,20,13050035,snacks--confectionery,Nature's Wonders Nuts Mix - Macadamia & Cashews,5.6,150g,Halal
cereal,51,1,13208400,food-cupboard-6,Nestle Trix Cereal,6.97,330g,Halal
cereal,51,2,13206550,food-cupboard-6,Nestle Koko Krunch Economic Pack,8.5,450g,Halal
cereal,51,3,10591166,food-cupboard-6,Nestle Cereal - Variety School Pack,4.9,6 x 20g / 25g,Halal
cereal,51,4,10305473,food-cupboard-6,Nestle Cereal - Honey Stars,6.46,300g,Halal
cereal,51,5,13020957,food-cupboard-6,Post Great Grains Cereal - Banana Nut Crunch,6.5,439g,
cereal,51,6,13018680,food-cupboard-6,Post Great Grains Cereal - Blueberry Morning,6.5,382g,
cereal,51,7,13206560,food-cupboard-6,Nestle Milo Cereal Economic Pack,8.5,450g,Halal
cereal,51,8,80440,food-cupboard-6,Nestle Cereal - Milo,4.0,150g,Halal
cereal,51,9,13021420,food-cupboard-6,Post Great Grains Cereal - Cranberry Almond Crunch,6.5,396g,
cereal,51,10,11042329,food-cupboard-6,Kellogg's Cereal - Cornflakes (Jumbo Pack),6.7,500g,
cereal,51,11,114843,food-cupboard-6,Nestle Cereal - Koko Krunch,6.46,300g,Halal
cereal,51,12,13245073,food-cupboard-6,Nestle Cereal - Milo,1.64,70g,Halal
cereal,51,13,13206570,food-cupboard-6,Nestle Cereal - Honey Stars Econopack,8.5,450g,Halal
cereal,51,14,10613679,food-cupboard-6,Nestle Cereal - Milo,5.65,300g,Halal
cereal,51,15,13184589,food-cupboard-6,Nestle Cereal - Gold Cornflakes,5.95,500g,
cereal,51,16,13174343,food-cupboard-6,Post Cereals - Waffle Crisp,7.52,326g,
cereal,51,17,12620098,food-cupboard-6,Sanitarium Weet-Bix Breakfast Cereal,9.04,750g,
cereal,51,18,13021613,food-cupboard-6,Post Great Grains Cereal - Raisins- Dates & Pecans,6.5,453g,
cereal,51,19,13021228,food-cupboard-6,Post Great Grains Cereal - Crunchy Pecan,6.5,453g,
cereal,51,20,13180964,food-cupboard-6,Kellogg's Cereal - Froot Loops,8.9,400g,Halal
candies,104,1,13083487,snacks--confectionery,Skittles Candies - Original (Fun Size Bag),5.14,10 x 15g,Halal
candies,104,2,225830,snacks--confectionery,Mentos Chewy Dragees - Mint (Share- A-Bowl),1.9,135g,
candies,104,3,13249621,snacks--confectionery,Hi-Chew Chewy Candy - Grape and Green Apple,2.8,100g,
candies,104,4,13269335,snacks--confectionery,Skittles Gummies - Fruit,2.0,42.5g,
candies,104,5,13250100,snacks--confectionery,Hi-Chew Chewy Candy - Grape and Strawberry,2.8,100g,
candies,104,6,13250090,snacks--confectionery,Hi-Chew Chewy Candy - Grape and Peach and Lychee,2.8,100g,
candies,104,7,13023349,snacks--confectionery,Mentos Mini Chewy Dragees - Rainbow,1.9,120g,
candies,104,8,13240793,snacks--confectionery,Eclipse Plus Soothing Herbal Mint - Loquat Pear,3.85,30g,
candies,104,9,13070283,snacks--confectionery,TNCC Chews Candies - Sour,4.95,180g,
candies,104,10,13205856,snacks--confectionery,Hi-Chew Chewy Candy - Soda Pop,2.8,90g,
candies,104,11,11583571,snacks--confectionery,Wrigley's Eclipse Sugar Free Mints Candy - Spearmint,3.84,35g,
candies,104,12,13052399,snacks--confectionery,Wrigley's Eclipse Sugar Free Mints Candy - Berry,3.84,35g,Halal
candies,104,13,13035327,snacks--confectionery,Mentos Chewy Dragees - Fruit,7.74,540g (200 per pack),Halal
candies,104,14,13269336,snacks--confectionery,Skittles Gummies - Yogurt,2.0,42.5g,
candies,104,15,13035326,snacks--confectionery,Mentos Chewy Dragees - Mint,7.74,200 per pack,
candies,104,16,13143031,snacks--confectionery,Mentos Chewy Dragees - Mint,2.29,3 x 37.5g,Halal
candies,104,17,90022450,snacks--confectionery,Train Haw Jelly,4.1,300 G,
candies,104,18,13264590,snacks--confectionery,Mumi Sweetened Flavoured Milk Tablets,1.0,12.5g,
candies,104,19,90159123,snacks--confectionery,Mentos Mint - Chewy Dragees,4.25,135 G,
candies,104,20,90123376,snacks--confectionery,Mentos Fruit Chewy Dragees Mentos,4.98,135 G,
candies,104,21,13274214,snacks--confectionery,Kinder Milkredible Candy - Cocoa,4.6,105.3g,
candies,104,22,90147751,snacks--confectionery,Mentos Mint & Fruity Assorted Flavours Chewy Dragees,7.98,405 G,
candies,104,23,13274215,snacks--confectionery,Kinder Milkredible Candy - Milk,4.6,105.3g,
beverages,89,1,13280708,drinks,[BCRS] Pokka Can Drink - Oolong Tea (No Sugar Added),7.75,12 x 300ml,Halal
beverages,89,2,13281432,drinks,[BCRS] Maison Perrier Forever Sparkling Beverage - Lemon,17.55,10 x 250ml,
beverages,89,3,13281660,drinks,[BCRS] Maison Perrier Forever Sparkling Beverage - Strawberry,17.55,10 x 250ml,
beverages,89,4,13280982,drinks,[BCRS] Pokka Bottle Drink - Jasmine Green Tea,2.25,1.5L,Halal
beverages,89,5,13281654,drinks,[BCRS] Maison Perrier Forever Sparkling Beverage - Lime,8.95,4 x 330ml,
beverages,89,6,13281627,drinks,[BCRS] Maison Perrier Forever Sparkling Beverage - Peach,17.55,10 x 250ml,
beverages,89,7,13281639,drinks,[BCRS] Maison Perrier Forever Sparkling Beverage - Lemon,8.95,4 x 330ml,
beverages,89,8,10003037,drinks,Pokka Packet Drink - Jasmine Green Tea,3.6,6 x 250ml,Halal
beverages,89,9,12700043,drinks,Milo Chocolate Malt Milk UHT Packet Drink,16.95,24 x 200ml (CTN),
beverages,89,10,12714896,drinks,[BCRS] 100 Plus Isotonic Can Drink - Original,16.81,24 x 325ml,Halal
beverages,89,11,13280991,drinks,[BCRS] Pokka Can Drink - Jasmine Green Tea,4.25,6 x 300ml,Halal
beverages,89,12,13281050,drinks,[BCRS] Pokka Can Drink - Jasmine Green Tea,7.75,12 x 300ml (CTN),Halal
beverages,89,13,13281379,drinks,[BCRS] Coca-Cola Mini Can Drink - Classic,5.25,6 x 180ml,Halal
beverages,89,14,12714945,drinks,[BCRS] Fuze Tea Flavoured Tea Bottle Drink - Passionfruit,27.0,12 x 1.5L,Halal
beverages,89,15,12714768,drinks,[BCRS] FairPrice Pure Drinking Bottle Water,7.2,24 x 600ml,
beverages,89,16,12714947,drinks,[BCRS] Dasani Drinking Bottle Water,8.4,12 x 1.5L,
beverages,89,17,12708770,drinks,Milo Chocolate Malt Milk UHT Packet Drink -Less Sugar,19.5,24 x 200ml (CTN),Halal
beverages,89,18,12714946,drinks,[BCRS] Dasani Drinking Bottle Water,8.4,24 x 600ml (CTN),
beverages,89,19,13281362,drinks,[BCRS] Coca-Cola Can Drink - Zero Sugar,8.75,12 x 320ml,
beverages,89,20,12704723,drinks,Pokka Packet Drink - Oolong Tea (No Sugar Added),7.55,24 x 250ml (CTN),Halal
beverages,89,21,12714758,drinks,[BCRS] Life Distilled Drinking Bottle Water,7.0,12 x 1.5L,
beverages,89,22,13281412,drinks,[BCRS] Coca-Cola Mini Can Drink - Zero Sugar,5.25,6 x 180ml,Halal
beverages,89,23,13281057,drinks,[BCRS] Coca-Cola Bottle Drink - Zero Sugar,2.6,1.5L,
beverages,89,24,13281620,drinks,[BCRS] Coca-Cola Original Taste - Less Sugar,16.95,24 x 320ml,
beverages,89,25,11520415,drinks,Marigold Packet Drink - Chrysanthemum Tea (LessSweet),8.8,24 x 250ml (CTN),Halal
beverages,89,26,12714970,drinks,[BCRS] F & N Ice Mountain Drinking Bottle Water,9.85,24 x 600ml,Halal
squash,54,1,90145601,fruits-vegetables,Agro Fresh Pumpkin - Whole,2.95,1 S,
squash,54,2,90215551,fruits-vegetables,Agro Fresh Zucchini-Green,2.45,1 S,
squash,54,3,90169109,fruits-vegetables,Yuan Zhen Yuan Japanese Pumpkin Seg Cut,5.95,1 KG,
squash,54,4,90187575,fruits-vegetables,Yuan Zhen Yuan Zucchini Green,4.8,600 G,
squash,54,5,90171165,fruits-vegetables,Yuan Zhen Yuan Butternut Pumpkin Seg Cut,5.34,500 G,
squash,54,6,90089354,fruits-vegetables,ZENXIN Organic Pumpkin,5.6,300 G,Organic
squash,54,7,90187570,fruits-vegetables,Yuan Zhen Yuan Butternut Pumpkin,7.9,1 KG,
squash,54,8,90189718,fruits-vegetables,Yuan Zhen Yuan Zucchini Yellow,4.5,600 G,
squash,54,9,90160955,fruits-vegetables,"Agro Fresh Hairy Gourd (Marrow, Fuzzy Squash)",2.98,550 G,
squash,54,10,90183480,fruits-vegetables,Vegeponics Australia Pumpkin,5.0,500 G,
squash,54,11,90104645,fruits-vegetables,Butternut Pumpkin,12.99,1 KG,
squash,54,12,90240741,fruits-vegetables,FreshCo. Pumpkin,27.0,3.5 KG,
squash,54,13,210790,drinks,Dragon Coin Fruit Cordial - Orange Squash,2.29,1L,Halal
squash,54,14,90229128,household,ST-C Deodorizer For Garbage Bin - Menthol Squash,7.5,2 S,
